benchmark
0 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
1 {'product': [0, 14, 4], 'productlist': [1, 1, 1]}
2 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
3 {'product': [0, 4, 4], 'productlist': [0, 1, 1]}
4 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
5 {'product': [0, 17, 4], 'productlist': [1, 1, 1]}
6 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
7 {'product': [0, 14, 4], 'productlist': [1, 1, 1]}
8 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
9 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
10 {'product': [0, 1, 4], 'productlist': [0, 1, 1]}
11 {'product': [0, 3, 4], 'productlist': [0, 1, 1]}
12 {'product': [0, 7, 4], 'productlist': [0, 1, 1]}
13 {'product': [0, 5, 4], 'productlist': [0, 1, 1]}
14 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
15 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
16 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
17 {'product': [0, 3, 4], 'productlist': [0, 1, 1]}
18 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
19 {'product': [0, 11, 3], 'productlist': [1, 1, 1]}
20 {'product': [0, 10, 3], 'productlist': [1, 1, 1]}
21 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
22 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
23 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
24 {'product': [0, 11, 3], 'productlist': [1, 1, 1]}
25 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
26 {'product': [0, 19, 5], 'productlist': [1, 1, 1]}
27 {'product': [0, 18, 5], 'productlist': [1, 1, 1]}
28 {'product': [0, 23, 5], 'productlist': [1, 1, 1]}
29 {'product': [0, 14, 4], 'productlist': [0, 1, 1]}
30 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
31 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
32 {'product': [0, 4, 4], 'productlist': [0, 1, 1]}
33 {'product': [0, 8, 4], 'productlist': [0, 1, 1]}
34 {'product': [0, 18, 5], 'productlist': [1, 1, 1]}
35 {'product': [0, 3, 4], 'productlist': [0, 1, 1]}
36 {'product': [0, 0, 4], 'productlist': [1, 1, 1]}
37 {'product': [0, 0, 4], 'productlist': [1, 1, 1]}
38 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
39 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
40 {'product': [0, 16, 4], 'productlist': [1, 1, 1]}
41 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
42 {'product': [0, 12, 4], 'productlist': [0, 1, 1]}
43 {'product': [0, 14, 4], 'productlist': [1, 1, 1]}
44 {'product': [0, 8, 4], 'productlist': [0, 1, 1]}
45 {'product': [0, 3, 4], 'productlist': [0, 1, 1]}
46 {'product': [0, 3, 4], 'productlist': [0, 1, 1]}
47 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
48 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
49 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
50 {'product': [0, 4, 4], 'productlist': [0, 1, 1]}
51 {'product': [0, 18, 5], 'productlist': [1, 1, 1]}
52 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
53 {'product': [0, 7, 4], 'productlist': [0, 1, 1]}
54 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
55 {'product': [0, 15, 4], 'productlist': [1, 1, 1]}
56 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
57 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
58 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
59 {'product': [0, 5, 4], 'productlist': [0, 1, 1]}
60 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
61 {'product': [0, 0, 4], 'productlist': [1, 1, 1]}
62 {'product': [0, 8, 4], 'productlist': [0, 1, 1]}
63 {'product': [0, 0, 4], 'productlist': [1, 1, 1]}
64 {'product': [0, 0, 4], 'productlist': [1, 1, 1]}
65 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
66 {'product': [0, 7, 4], 'productlist': [0, 1, 1]}
67 {'product': [0, 14, 4], 'productlist': [1, 1, 1]}
68 {'product': [0, 4, 4], 'productlist': [0, 1, 1]}
69 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
70 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
71 {'product': [0, 6, 4], 'productlist': [0, 1, 1]}
72 {'product': [0, 4, 4], 'productlist': [0, 1, 1]}
73 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
74 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
75 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
76 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
77 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
78 {'product': [0, 9, 4], 'productlist': [0, 1, 1]}
79 {'product': [0, 20, 5], 'productlist': [1, 1, 1]}
80 {'product': [0, 4, 4], 'productlist': [0, 1, 1]}
81 {'product': [0, 9, 4], 'productlist': [0, 1, 1]}
82 {'product': [0, 15, 4], 'productlist': [1, 1, 1]}
