@relation out

@attribute 'fdc ' numeric
@attribute ' td_tr ' numeric
@attribute ' fdcl ' numeric
@attribute ' tr ' numeric
@attribute ' fr ' numeric
@attribute ' fc ' numeric
@attribute ' ftl ' numeric
@attribute ' fdr ' numeric
@attribute ' td ' numeric
@attribute ' fcl ' numeric
@attribute ' fclc ' numeric
@attribute ' class' {' table',' other'}

@data
0,3,0.527046,6,6,3,2.782609,4.242641,18,0.833333,0.833333,' table'
0,3,0.5,4,4,3,2.176471,1.154701,12,0.5,0.5,' table'
0,3,0.471405,3,3,3,2.230769,0,9,0.333333,0.333333,' table'
0,3,0.471405,3,3,3,2.230769,0,9,0.333333,0.333333,' table'
0,3,0.471405,3,3,3,2.230769,0,9,0.333333,0.333333,' table'
0,3,0.471405,3,3,3,2.230769,0,9,0.333333,0.333333,' table'
0,3,0.516398,5,5,3,2.136364,2.581989,15,0.666667,0.666667,' table'
0,3,0.471405,3,3,3,2.230769,0,9,0.333333,0.333333,' table'
0,3,0.5,4,4,3,2.176471,1.154701,12,0.5,0.5,' table'
0,3,0.516398,5,5,3,2.136364,2.581989,15,0.666667,0.666667,' table'
0,3,0.5,4,4,3,2.176471,1.154701,12,0.5,0.5,' table'
0,3,0.471405,3,3,3,2.230769,0,9,0.333333,0.333333,' table'
0,3,0.516398,5,5,3,2.142857,2.581989,15,0.666667,0.666667,' table'
0,3,0.5,4,4,3,2.176471,1.154701,12,0.5,0.5,' table'
0,2.73913,0.56466,23,23,3,1.990196,55.377492,63,3.666667,3.666667,' table'
0,2.714286,0.534522,7,7,3,2.0625,6.110101,19,1,1,' table'
0,2.375,0.559017,16,16,3,1.986301,30.022214,38,2.5,2.5,' table'
0,4,0.387298,4,4,5,2.12,0.894427,16,0.3,0.3,' table'
0,4,0.387298,4,4,5,2.12,0.894427,16,0.3,0.3,' table'
0,2.466667,0.567646,30,30,3,1.967105,85.381497,74,4.833333,4.833333,' table'
0,2.533333,0.567646,30,30,3,1.973154,85.381497,76,4.833333,4.833333,' table'
0,2.5,0.5,4,4,3,2.105263,1.154701,10,0.5,0.5,' table'
0,2.5,0.527046,6,6,3,2.074074,4.242641,15,0.833333,0.833333,' table'
0,1.857143,0.556349,14,14,3,2.015873,23.762716,26,2.166667,2.166667,' table'
0,2,0.564076,22,22,3,2.870968,51.452243,44,3.5,3.5,' table'
0,2,0.408248,2,2,3,2.333333,0.816497,4,0.166667,0.166667,' table'
0,3,0.561084,18,18,3,2.652778,36.742346,54,2.833333,2.833333,' table'
0,1,0.971825,17,18,1,2.428571,72.124892,17,8.5,8.5,' other'
0.407862,1.954545,0.707107,22,22,1.913043,2.363636,68.132224,43,5.75,5.75,' table'
